<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	424642
of	278864
and	209138
to	166823
in	119470
for	63796
a	62090
that	56385
on	55973
The	41393
by	35983
with	34640
as	32989
is	28990
be	28456
its	23143
United	21451
are	18416
Nations	18320
at	18018
or	17416
was	17068
from	16549
their	15815
which	14711
an	14487
Committee	14409
States	14196
have	13712
all	13371
international	13300
not	13146
it	13093
has	12715
In	12561
this	11849
also	11218
will	10742
other	10656
development	10644
been	10565
rights	10375
countries	10351
resolution	9875
Council	9797
report	9512
should	9460
had	9424
were	8620
would	8496
human	8439
including	8432
such	8244
women	8234
under	8122
General	8051
Assembly	7795
work	7466
Convention	7302
national	7270
information	7217
A	7178
implementation	6882
support	6854
session	6754
I	6402
International	6364
those	6224
activities	6163
It	6086
draft	6085
State	6055
Commission	6046
against	5920
made	5690
meeting	5646
more	5628
Security	5481
well	5341
into	5332
SecretaryGeneral	5306
cooperation	5281
through	5275
Government	5257
we	5257
Republic	5189
law	5174
We	5111
organizations	5064
efforts	5047
Mr	5032
measures	5020
between	4994
security	4838
paragraph	4731
Development	4706
any	4706
Rights	4665
new	4544
assistance	4487
per	4487
resources	4486
Conference	4416
they	4412
children	4405
article	4370
system	4367
programme	4303
ensure	4286
process	4272
developing	4260
Group	4252
regional	4232
need	4223
people	4187
particular	4166
Human	4140
issues	4129
one	4120
these	4079
Special	4060
members	4046
our	4033
relevant	4025
out	4003
country	3987
his	3963
provide	3916
shall	3912
order	3909
number	3897
can	3895
social	3868
must	3856
use	3798
further	3793
economic	3782
adopted	3757
within	3746
programmes	3732
cent	3725
take	3688
may	3687
who	3671
decision	3616
protection	3611
financial	3610
there	3593
areas	3567
but	3546
review	3540
education	3531
could	3529
Programme	3519
accordance	3513
them	3489
some	3462
services	3416
provided	3391
action	3385
only	3353
years	3349
agenda	3345
continue	3312
effective	3306
time	3298
regard	3295
This	3292
no	3280
health	3235
situation	3179
December	3161
so	3152
World	3152
management	3143
Member	3118
held	3103
political	3082
right	3081
than	3076
parties	3067
community	3055
Parties	3055
party	3041
important	3035
among	3012
